time,station,rr,tl_mittel,bewm_mittel,so_h,vv_mittel,substation
2024-12-13T00:00+00:00,1,-1.0,-3.8,73.0,0.0,1.5,10200
2024-12-13T00:00+00:00,105,-1.0,1.5,100.0,0.0,3.8,5904
2024-12-14T00:00+00:00,1,0.0,-1.8,60.0,2.2,0.6,10200
2024-12-14T00:00+00:00,105,0.0,2.9,83.0,1.3,3.8,5904
2024-12-15T00:00+00:00,1,1.2,2.3,73.0,0.2,3.2,10200
2024-12-15T00:00+00:00,105,0.3,5.0,93.0,0.4,5.2,5904
2024-12-16T00:00+00:00,1,0.4,6.7,67.0,0.4,2.6,10200
2024-12-16T00:00+00:00,105,0.1,8.0,67.0,2.6,10.2,5904
2024-12-17T00:00+00:00,1,0.3,7.8,53.0,3.9,2.6,10200
2024-12-17T00:00+00:00,105,0.3,9.9,80.0,1.5,5.2,5904
2024-12-18T00:00+00:00,1,-1.0,2.8,77.0,4.2,0.2,10200
2024-12-18T00:00+00:00,105,0.0,6.1,70.0,1.7,1.0,5904
2024-12-19T00:00+00:00,1,2.5,0.9,60.0,2.6,0.2,10200
2024-12-19T00:00+00:00,105,9.9,5.0,97.0,0.0,2.1,5904
2024-12-20T00:00+00:00,1,0.3,2.3,83.0,0.0,1.0,10200
2024-12-20T00:00+00:00,105,-1.0,5.8,90.0,0.3,5.9,5904
2024-12-21T00:00+00:00,1,-1.0,1.2,40.0,7.0,2.1,10200
2024-12-21T00:00+00:00,105,0.1,4.2,7.0,7.6,3.8,5904
2024-12-22T00:00+00:00,1,5.0,-2.1,73.0,0.0,0.6,10200
2024-12-22T00:00+00:00,105,1.5,3.6,100.0,0.0,2.1,5904
2024-12-23T00:00+00:00,1,0.8,-1.0,80.0,0.0,1.5,10200
2024-12-23T00:00+00:00,105,0.1,4.2,90.0,0.0,5.2,5904
2024-12-24T00:00+00:00,1,0.0,1.1,57.0,1.5,1.0,10200
2024-12-24T00:00+00:00,105,0.2,4.3,97.0,1.4,6.7,5904
2024-12-25T00:00+00:00,1,-1.0,-0.2,20.0,7.1,0.6,10200
2024-12-25T00:00+00:00,105,-1.0,3.5,57.0,1.0,3.2,5904
2024-12-26T00:00+00:00,1,-1.0,-3.5,30.0,7.1,0.6,10200
2024-12-26T00:00+00:00,105,-1.0,1.5,13.0,7.8,2.1,5904
2024-12-27T00:00+00:00,1,-1.0,-3.4,7.0,7.1,0.6,10200
2024-12-27T00:00+00:00,105,-1.0,1.0,17.0,7.8,1.0,5904
2024-12-28T00:00+00:00,1,-1.0,-1.2,10.0,7.1,0.2,10200
2024-12-28T00:00+00:00,105,-1.0,3.4,7.0,7.4,1.5,5904
2024-12-29T00:00+00:00,1,-1.0,-1.7,17.0,7.1,0.6,10200
2024-12-29T00:00+00:00,105,-1.0,2.3,3.0,7.8,1.0,5904
2024-12-30T00:00+00:00,1,-1.0,-2.3,13.0,7.1,0.2,10200
2024-12-30T00:00+00:00,105,0.0,2.7,10.0,7.7,1.5,5904
2024-12-31T00:00+00:00,1,-1.0,-2.7,7.0,7.2,0.2,10200
2024-12-31T00:00+00:00,105,0.0,-2.0,100.0,0.0,2.1,5904
